year,precipitation,city
1923,32.48,chicago
1924,34.96,chicago
1925,28.33,chicago
1926,35.46,chicago
1927,39.55,chicago
1928,33.92,chicago
1929,36.81,chicago
1930,23.34,chicago
1931,39.29,chicago
1932,31.86,chicago
1933,32,chicago
1934,22.78,chicago
1935,37.73,chicago
1936,29.58,chicago
1937,26.98,chicago
1938,34.81,chicago
1939,27.51,chicago
1940,26.74,chicago
1941,35.29,chicago
1942,35.66,chicago
1943,32.6,chicago
1944,26.86,chicago
1945,37.46,chicago
1946,31.38,chicago
1947,39.21,chicago
1948,31.56,chicago
1949,33.74,chicago
1950,39.75,chicago
1951,43.15,chicago
1952,28.29,chicago
1953,30.15,chicago
1954,45.92,chicago
1955,30.96,chicago
1956,22.23,chicago
1957,44.29,chicago
1958,26.35,chicago
1959,38.68,chicago
1960,27.84,chicago
1961,42.9,chicago
1962,22.22,chicago
1963,28.02,chicago
1964,26.95,chicago
1965,42.05,chicago
1966,36.76,chicago
1967,41.1,chicago
1968,29.73,chicago
1969,36.78,chicago
1970,46.09,chicago
1971,29.58,chicago
1972,41.19,chicago
1973,37.99,chicago
1974,37.53,chicago
1975,42.05,chicago
1976,33.98,chicago
1977,41.29,chicago
1978,33.51,chicago
1979,38.04,chicago
1980,38.07,chicago
1981,39.19,chicago
1982,44.68,chicago
1983,49.35,chicago
1984,34,chicago
1985,40.07,chicago
1986,31.73,chicago
1987,41.35,chicago
1988,33.36,chicago
1989,29.45,chicago
1990,43.12,chicago
1991,35.02,chicago
1992,30.12,chicago
1993,44.9,chicago
1994,29.59,chicago
1995,32.88,chicago
1996,30.72,chicago
1997,31.71,chicago
1998,37.53,chicago
1999,38.25,chicago
2000,33.36,chicago
2001,45.77,chicago
2002,33.92,chicago
2003,32.02,chicago
2004,31.58,chicago
2005,24.09,chicago
2006,41.95,chicago
2007,35.8,chicago
2008,50.86,chicago
2009,42.57,chicago
2010,37.61,chicago
2011,49.83,chicago
2012,26.91,chicago
2013,42.09,chicago
2014,39.47,chicago
2015,39.85,chicago
2016,35.97,chicago
2017,43.1,chicago
2018,49.23,chicago
2019,49.54,chicago
2020,39.22,chicago
2021,30.15,chicago
1914,40.85,dallas
1915,35.21,dallas
1916,31.89,dallas
1917,23.72,dallas
1918,44.41,dallas
1919,42.43,dallas
1920,47.22,dallas
1921,24.57,dallas
1922,38.16,dallas
1923,43.03,dallas
1924,23.62,dallas
1925,30.65,dallas
1926,38.55,dallas
1927,38.69,dallas
1928,33.01,dallas
1929,28.4,dallas
1930,30.86,dallas
1931,25.44,dallas
1932,38.34,dallas
1933,30.69,dallas
1934,23.15,dallas
1935,32.67,dallas
1936,25.98,dallas
1937,33.22,dallas
1938,28.17,dallas
1939,28.51,dallas
1940,44.57,dallas
